cnpj;nome;nome_reduzido;tipo;uf;situacao;banco;agencia;conta
46188646000145;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JIJOCA DE JERICOACOARA;APAE DE JIJOCA DE JERICOACOARA;apae;CE;;403;0001;3123364-8
08299133000112;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JOAO PESSOA;APAE DE JOAO PESSOA;apae;PB;;001;0011-6;33001-9
16252694000194;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JUAZEIRO;APAE DE JUAZEIRO;apae;BA;;001;0069-8;83063-1
07670367000161;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE JUAZEIRO DO NORTE;APAE DE JUAZEIRO DO NORTE;apae;CE;;001;1598-9;40626-0
33056109000108;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LABREA;APAE DE LABREA;apae;AM;;001;3317-0;13627-7
05679059000171;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LAGOA DA CONFUSAO;APAE DE LAGOA DA CONFUSAO;apae;TO;;748;0911;84901-8
23114937000193;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LAGOA FORMOSA;APAE DE LAGOA FORMOSA;apae;MG;;001;2237-3;17040-2
04613144000174;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LARANJAL;APAE DE LARANJAL;apae;PR;;001;1353-6;25618-8
01808827000199;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LIMEIRA DO OESTE;APAE DE LIMEIRA DO OESTE;apae;MG;;756;3256-2;20859-0
04562848000165;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LIMOEIRO DO NORTE;APAE DE LIMOEIRO DO NORTE;apae;CE;;104;0750-5;730853675-1
00572863000133;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LINDOESTE;APAE DE LINDOESTE;apae;PR;;001;3508-4;61406-8
00066207000169;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LUCAS DO RIO VERDE;APAE DE LUCAS DO RIO VERDE;apae;MT;;001;3196-8;22222-4
05898222000197;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE LUIS EDUARDO MAGALHAES;APAE DE LUIS EDUARDO MAGALHAES;apae;BA;;001;2997-1;46104-0
12641072000105;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MACAIBA;APAE DE MACAIBA;apae;RN;;001;2256-X;106100-3
03644738000180;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MADRE DE DEUS;APAE DE MADRE DE DEUS;apae;BA;;036;3016-3;0114502-9
06089315000133;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MAMANGUAPE;APAE DE MAMANGUAPE;apae;PB;;001;944-X;18084-X
01619799000161;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MANACAPURU;APAE DE MANACAPURU;apae;AM;;237;3707-9;0013623-9
52901104000170;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MANOEL URBANO;APAE DE MANOEL URBANO;apae;AC;;104;3275;578000963-1
01711946000129;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MARABA;APAE DE MARABA;apae;PA;;748;0804;66939-7
